sample_id,stratum,stratum_name,x,y,f_built,f_green,slope_mean,dist_coast_km,dist_core_km,bld_count,bld_cov,far,mean_floors,bld_mean_area,bld_mean_shape,bld_orient,str_len_km_400,str_dens_400,node_dens_400,inter_dens_400,mean_seg_400,orient_ent_400,str_len_km_800,str_dens_800,node_dens_800,inter_dens_800,mean_seg_800,orient_ent_800,lst_summer,svi,elderly_share,age_dependency,cluster
0,1,historic_core,510875.0,4249875.0,0.881600022315979,0.1040000021457672,10.705227492565854,1.59847132111847,2.486816070831599,240,0.4563364473267557,1.8449928569070413,3.5708333333333333,152.81305999088164,1.1945330716206668,30.570152304021395,5.830970273304281,11.600346775228452,449.6127142346043,157.16550630324664,23.047313333218504,0.8438219497956654,34.19753882189484,17.008460453379858,629.1593844101487,207.3987852166261,23.327106972643136,0.8898213410763557,42.91180923461914,-0.3674921898349588,0.1342478280749885,0.4395734597156398,1
1,1,historic_core,511125.0,4249875.0,0.8479999899864197,0.1488000005483627,12.498362979770825,1.6994755126224823,2.46308893730764,140,0.3165844992507218,1.2947942566118755,3.85,204.7932977629046,1.199335464836335,24.280125365288445,8.624196820747999,17.157294427743153,694.3134392383934,206.9014260194639,22.28474630684237,0.8747797682569545,39.82021910036869,19.804952202581195,723.6576318709616,227.293153103113,23.81592051457457,0.9412733309246808,42.5503254699707,-0.3674921898349588,0.1342478280749885,0.4395734597156398,1
2,1,historic_core,511375.0,4249875.0,0.7184000015258789,0.2800000011920929,12.9565113447773,1.8234250946612265,2.4646216861880124,95,0.2124337999226708,0.8068948946453587,3.284210526315789,159.31736054577686,1.193637653571281,37.3603571344084,6.972467870552547,13.87128408934824,568.9789215535258,179.04931097838224,21.925999592932538,0.874017514392787,31.93933487187067,15.88532194976739,596.3336773974453,174.07571900676052,23.48480505284608,0.9517312106770088,42.44002670288086,-0.5268560862817738,0.1244403837368661,0.4201375373037498,1
3,1,historic_core,510125.0,4250125.0,0.8384000062942505,0.1360000073909759,10.664953279136364,1.1983120125981082,2.473616229874928,47,0.1651058577845741,0.7057112341015074,4.617021276595745,282.2258301589166,1.2911170697034524,33.97100570391327,3.776071194148322,7.512254950195269,202.92255244216653,81.56690833459635,32.83540168824628,0.7239647007926114,25.90887996737704,12.886019739945748,438.1734526998743,151.69455513446275,25.252319656312903,0.874798241400273,45.058103485107424,0.394473291210944,0.1976637168141592,0.5085976716864253,1
4,1,historic_core,510375.0,4250125.0,0.6079999804496765,0.3776000142097473,11.156654097146085,1.2331576302467075,2.3719886584133616,56,0.1790035891368152,0.8093410726266488,4.446428571428571,246.5120257163508,1.2061538773743437,38.257222445915154,5.167572297297422,10.280558436245324,316.320449395142,121.3556441075702,28.084632050529468,0.4771624612852365,26.54202431667205,13.200919905198884,416.78700722190086,147.71568155716534,26.918888759302284,0.815680285194688,44.61782516479492,0.394473291210944,0.1976637168141592,0.5085976716864253,1
5,1,historic_core,510625.0,4250125.0,0.979200005531311,0.0160000007599592,7.393799877135716,1.2843765726466632,2.2932254879497966,276,0.5144623572258942,2.013686873809705,3.86231884057971,126.45508437305584,1.191190129133427,39.26626095894378,7.093784020260071,14.1126349006336,455.5810246005504,169.10212703513878,26.768996302868192,0.6950321912648603,32.15039267268607,15.990293488135748,509.29581789406507,169.59948623230096,26.94919754625823,0.836637066012605,43.51517776489258,0.394473291210944,0.1976637168141592,0.5085976716864253,1
6,1,historic_core,510875.0,4250125.0,0.8176000118255615,0.1664000004529953,8.165781193829725,1.365966206867364,2.2397401817004465,52,0.2189666963076705,1.3992522150033253,4.461538461538462,516.806945872767,1.2414204349353,32.86837356587191,6.047694833694393,12.031506588672258,425.73947277082,143.2394487827058,25.41048249451426,0.8628760878465592,35.375197501167,17.594179828633724,584.3970566655531,190.48857251311225,25.972979075746697,0.873560025656789,44.12313125610351,-0.3674921898349588,0.1342478280749885,0.4395734597156398,1
7,1,historic_core,511125.0,4250125.0,0.8912000060081482,0.096000000834465,9.319357638152356,1.47917988069191,2.213365994241466,44,0.258705944155308,1.7748505317621386,5.795454545454546,664.101569194355,1.273989329816626,33.1735895896905,6.6550467192366405,13.239794773425151,515.2641282600111,139.2605752054084,23.433263095903666,0.8320826374598722,37.80546256171402,18.80289450803868,660.9903730285278,208.39350361095043,24.725613186209305,0.9234207374443704,42.0250862121582,-0.3674921898349588,0.1342478280749885,0.4395734597156398,1
8,1,historic_core,511375.0,4250125.0,0.8784000277519226,0.1200000047683715,9.596451134266845,1.618382269730904,2.2150715490488064,73,0.2692031473932306,1.71574568535089,5.205479452054795,275.5181582090605,1.1912240472449367,14.684546838218449,6.567486631380204,13.065599513426246,471.4965189097399,133.29226483946235,25.75484953482433,0.7883103444539099,34.35274128989332,17.08565182826117,619.7095596640675,170.09684542946314,24.39825375702651,0.939556304806474,42.79920608520508,-0.3900759015713053,0.1509069857197993,0.4107078039927405,1
9,1,historic_core,511625.0,4250125.0,0.91839998960495,0.0783999934792518,13.257386441498884,1.7766305411233982,2.244792843526201,261,0.4316162051081279,1.5589319718943029,3.256704980842912,110.77197565440764,1.2201006917411483,15.553159991884042,5.100809275031832,10.147737623628789,397.8873577297383,99.47183943243458,23.72469430247364,0.78651709500586,26.19539537802332,13.02852081455937,512.7773322742003,124.33979929054324,22.71933684130383,0.9431803019723402,43.05102996826172,-0.7010372713455657,0.1137670445211105,0.3988279903481558,1
10,1,historic_core,509875.0,4250375.0,0.9039999842643738,0.0943999961018562,9.288361372766538,0.9295331355278252,2.386085962646133,82,0.3653858328827293,2.266014388280108,5.670731707317073,414.5781960954884,1.2422340405692138,14.352189961957492,5.539244832891459,11.019977451886442,314.3310126064933,115.38733374162412,30.94550185972882,0.8059911210169521,31.62539579988829,15.729181464968397,460.5546165721721,169.59948623230096,28.724246866383552,0.8995549615768677,43.80330917358398,0.9487240951746432,0.247899618112384,0.552863436123348,1
11,1,historic_core,510125.0,4250375.0,0.974399983882904,0.0240000002086162,10.486404442850484,0.9498550876797212,2.2529889400700327,94,0.3143882169893503,1.6056250569749264,4.893617021276596,237.4042231838289,1.2443266339151249,25.33787100580732,4.166714959261888,8.289416027768434,302.3943918746011,83.55634512324505,24.801874757511232,0.8741919708406153,26.03519480327705,12.948843585318654,384.9560186035218,139.2605752054084,28.895887683992296,0.9357169389082012,44.35141311645508,0.394473291210944,0.1976637168141592,0.5085976716864253,1
12,1,historic_core,510375.0,4250375.0,0.9552000164985656,0.0416000001132488,9.16106344730306,0.9877558979426396,2.140913848574681,110,0.3837024664357943,1.8612345486373283,4.872727272727273,246.3982588457449,1.2600848173630588,29.66651892724419,3.711721643475928,7.384235586754593,304.3838286632498,89.52465548919112,22.632449045584924,0.8353872924025073,25.16044413628156,12.513778295864698,366.55372830852144,131.80018724797583,29.324526965363127,0.878258659313359,44.34486709594727,0.394473291210944,0.1976637168141592,0.5085976716864253,1
13,1,historic_core,510625.0,4250375.0,0.9936000108718872,0.0048000002279877,5.408832988725928,1.044491361246031,2.0533058831941777,225,0.4817991937947595,2.239548908348295,4.497777777777777,154.18065764015364,1.20895910911268,35.103316304872614,6.326008062825102,12.585193165472502,368.045805900008,143.2394487827058,30.41350030204376,0.6412327347234861,31.123952526777146,15.479784041231463,507.30638110541634,169.10212703513878,26.220684521294984,0.8896056741745098,43.783352813720704,0.394473291210944,0.1976637168141592,0.5085976716864253,1
14,1,historic_core,510875.0,4250375.0,0.91839998960495,0.0703999996185302,6.855026141362192,1.1404657734763528,1.993393587052187,95,0.2949138853612191,1.6628450389340736,5.526315789473684,226.11526423352885,1.2177761505911688,33.65589134118299,4.4126631413287525,8.77871438927352,290.45777114270896,101.46127622108328,26.74341297775001,0.7406512962673735,30.07124679744678,14.956211164843692,500.343352345146,162.63645747203054,25.923488618488605,0.8863784117102191,43.4227229309082,-0.3674921898349588,0.1342478280749885,0.4395734597156398,1
15,1,historic_core,511125.0,4250375.0,0.876800000667572,0.1151999980211258,7.4657592171275295,1.2695198507461385,1.963713557482799,73,0.2561527550260462,1.4571608106790537,5.328767123287672,273.52931012029563,1.2077606798128666,24.680599416616136,4.379622281010705,8.712981686228193,306.37326545189853,101.46127622108328,25.76248400594532,0.7674792757327842,29.36806135318311,14.606475416828587,521.7297978231194,166.11797185216574,24.351626329339226,0.9374536123609118,43.13948501586914,-0.3900759015713053,0.1509069857197993,0.4107078039927405,1
16,1,historic_core,511375.0,4250375.0,0.9264000058174132,0.0592000000178813,7.892350759185219,1.423695154067344,1.9656357441760963,118,0.379255545360618,2.2846344526214653,4.872881355932203,235.9910245876096,1.18546020297874,14.499229022413283,6.86101606664285,13.649557770489029,461.5493349664965,139.2605752054084,26.80084401032364,0.6712290157715368,38.13476687437166,18.96667703660412,729.1285830397454,208.39350361095043,22.72632114086511,0.9490173122669378,42.93565505981445,-0.3900759015713053,0.1509069857197993,0.4107078039927405,1
17,1,historic_core,511625.0,4250375.0,0.9983999729156494,0.0015999999595806,13.438957263176162,1.5995095505174868,1.9990689887354267,351,0.509440800867468,1.5291144811247268,2.572649572649573,98.17438387360684,1.2395441279364543,13.78798799313272,5.940951723293575,11.81914791790608,523.2218754146058,113.39789695297542,20.84544464313535,0.7696594196632441,30.06316727925888,14.952192742164303,646.5669563108248,163.1338166691927,20.437231325125005,0.944653499228391,42.910904541015626,-0.7010372713455657,0.1137670445211105,0.3988279903481558,1
18,1,historic_core,509625.0,4250625.0,0.995199978351593,0.0048000002279877,11.45525873634714,0.5966468868962077,2.349049848252096,124,0.4735406946211099,2.3058929463685787,5.104838709677419,310.958201645506,1.2397079411072192,9.397723894381386,6.786726848063934,13.50176406604817,419.7711624048739,167.1126902464901,27.588320520585093,0.7714530416111327,32.36481738854579,16.096939592667468,508.3010994997407,178.55195178122008,26.44184427168774,0.8846989146713743,43.330164489746096,0.5099069409707698,0.2282433159877983,0.488713770535595,1
19,1,historic_core,509875.0,4250625.0,0.9535999894142152,0.046399999409914,8.380027032646717,0.6940733663734608,2.1853119073748166,100,0.4018988304938027,2.3067645625237527,4.89,318.21316577312086,1.2345856532057269,9.740492053551105,6.5761312841620585,13.082797503695565,370.03524268865664,151.19719593730056,30.72958544000962,0.7638684304666796,31.026658873563083,15.431394147979942,470.0044413182534,166.61533104932792,27.727130360646186,0.8803929003516238,43.070601806640624,0.5099069409707698,0.2282433159877983,0.488713770535595,1
20,1,historic_core,510125.0,4250625.0,0.9376000165939332,0.0527999997138977,7.045478709597697,0.7020602486098771,2.0391520481452887,134,0.3890772406263881,2.1123794065996577,5.022388059701493,212.2902497227364,1.2080266693714756,16.06782309011409,7.5849674979596,15.089813381145447,533.1690593578494,192.97536849892307,24.310793262691025,0.9047311314635978,29.418303038331665,14.63146358101815,437.17873430555,152.68927352878708,28.396045403795043,0.9013482047651368,43.76262588500977,0.9035133280235133,0.2481473164158994,0.542966042966043,1
21,1,historic_core,510375.0,4250625.0,0.8736000061035156,0.1199999973177909,7.507509156339518,0.7423541656385715,1.9146002241711169,131,0.3169250730774485,2.13584239987401,5.961832061068702,180.97328730813024,1.2262929021978832,38.40444468561155,4.791277228868418,9.531943183725586,308.3627022405472,105.44014979838066,27.37872702210524,0.7382280620615476,28.121828672613365,13.986650131343158,454.0889470090639,156.66814710608446,26.63051957633841,0.9563467110769376,42.6704280090332,0.394473291210944,0.1976637168141592,0.5085976716864253,1
22,1,historic_core,510625.0,4250625.0,0.9728000164031982,0.019200000911951,7.669649887015566,0.8083790707834987,1.816107640349838,156,0.3572921496952935,1.802839132072792,4.839743589743589,161.67968615045444,1.2330794987803488,34.59282415764258,5.348981269293594,10.64146011892545,288.4683343540603,119.3662073189215,32.61573944691216,0.7211858421265124,30.98128648244296,15.40882777195911,541.1268065124441,179.04931097838224,24.647005952619697,0.9347125307918156,42.823017578125,0.394473291210944,0.1976637168141592,0.5085976716864253,1
23,1,historic_core,510875.0,4250625.0,0.9200000166893004,0.0736000016331672,9.917608804482668,0.9221147108518324,1.748084638762672,192,0.3932319681401618,2.038763582124594,4.822916666666667,146.1821926908206,1.22414532789144,22.55696667821981,10.493237062922082,20.875631844989137,793.7852786708279,276.5317136221681,22.81138491939583,0.9134706408274516,39.84065813396584,19.81511774392184,732.6100974198807,239.2297738350052,23.32591225642028,0.9535930317951684,43.08451385498047,-0.3900759015713053,0.1509069857197993,0.4107078039927405,1
24,1,historic_core,511125.0,4250625.0,0.9919999837875366,0.0080000003799796,8.561584881524363,1.0711674489907073,1.7141624331489087,235,0.4725097780719102,2.2473587488291185,4.378723404255319,151.46916779880826,1.2090852266324092,20.71275158701608,7.031332845284065,13.988392235641998,576.9366687081206,187.00705813297705,21.11511364950169,0.8924645588490732,35.80697918042252,17.808930417977585,682.3768185065012,212.37237718824784,22.633994425045845,0.9363891881037592,43.52738739013672,-0.3900759015713053,0.1509069857197993,0.4107078039927405,1
25,1,historic_core,511375.0,4250625.0,0.9904000163078308,0.0096000004559755,12.977009242355212,1.246564324156228,1.7163641193406347,249,0.4701510925720699,2.043800942526412,3.682730923694779,138.47357284046834,1.1987489982361084,15.864225004931734,8.524199747620553,16.958356571706222,753.9965428978542,222.81692032865345,19.916354550515308,0.8709876997431866,41.61712936222986,20.698662047792936,885.7967301458299,254.15054974987035,20.37059684886435,0.963996206589594,42.4425552368164,-0.7010372713455657,0.1137670445211105,0.3988279903481558,1
26,1,historic_core,511625.0,4250625.0,0.9968000054359436,0.0031999999191612,13.554072450819485,1.440407674025523,1.7545537133701317,416,0.4877718096520476,1.1792827694464816,2.2139423076923075,80.7446585453213,1.2372977308758737,23.716690365846155,11.736129345680546,23.348287476636376,1058.380371561104,288.4683343540603,19.69149219073917,0.9148899827413208,41.8286282258869,20.803852952822115,941.0036010308312,256.6373457356812,19.401033499947545,0.9671004842369956,42.3640837097168,-0.7010372713455657,0.1137670445211105,0.3988279903481558,1
27,1,historic_core,511875.0,4250625.0,0.9919999837875366,0.0063999998383224,5.55130142804065,1.6476757354089084,1.8264752054276243,470,0.4928653312908955,1.0234343880148362,1.9148936170212767,70.84647458864038,1.233486794426594,16.045972278730684,8.135412413791114,16.184888746825294,841.5317615983965,185.01762134432832,17.42058332717583,0.8987001742969251,36.96495077818398,18.384858242176826,893.7544773004247,223.81163872297785,18.191412784539363,0.9646873379288716,42.861873931884766,-0.0770431481488322,0.1107963487566887,0.5347826086956522,1
28,1,historic_core,512125.0,4250625.0,0.9728000164031982,0.0223999992012977,14.45910212992032,1.865448040208828,1.928358011102412,432,0.4063902197159789,0.8281237463736024,1.8333333333333333,62.86145777480663,1.2314630677611722,22.925790604717264,8.101170981345389,16.11676758142174,893.2571181032625,185.01762134432832,16.66907609330327,0.9360943845465328,33.35219950246744,16.58802316813983,835.5634512324505,183.0281845556796,17.825868253590293,0.9669819798364324,44.13767379760742,-0.0770431481488322,0.1107963487566887,0.5347826086956522,1
29,1,historic_core,509875.0,4250875.0,0.8303999900817871,0.1632000058889389,14.3303975891171,0.4444271943249829,1.9956878623400496,153,0.3278704871847137,1.48067708564071,4.379084967320262,162.39198555299984,1.2333035982372214,7.83344323271332,7.228696219767166,14.381034193570526,475.4753924870373,173.08100061243616,26.38210299185097,0.718263581717193,28.67791526290905,14.263224911445269,467.5176453324425,149.70511834581404,25.90597584725298,0.8615343286579855,42.79251403808594,0.5099069409707698,0.2282433159877983,0.488713770535595,1
