stratum_name,bld_cov,far,mean_floors,bld_mean_area,bld_mean_shape,bld_orient,str_dens_800,inter_dens_800,node_dens_800,mean_seg_800,orient_ent_800,f_green,slope_mean,dist_coast_km,dist_core_km
apartment_block,-0.017943751,-0.06596387,-0.08000882,-0.081672035,0.022639228,-0.025167122,-0.07858056,0.029842163,-0.051019512,-0.029093163,0.0016982427,0.31602392,0.0575701,0.22342522,0.032525953
grid_residential,0.0022584812,0.03899126,0.014245783,0.02603762,-0.0319819,-0.023190318,0.060190223,0.011596138,0.0020374528,0.004174339,0.0031510657,-0.19758186,0.074416645,0.0449863,-0.11811429
hillside_incremental,0.0022202812,-0.019523628,-0.03764512,-0.16472895,0.0039582876,-0.020851947,-0.039603565,0.027035037,-0.035631154,-0.037949868,0.020129973,-0.021106105,-0.29247332,0.2569725,0.0041951346
historic_core,0.06028163,-0.07354586,-0.122638926,-0.16861172,-0.046595912,-0.023319798,-0.093442656,0.034553237,-0.060204543,-0.08805143,0.026168682,0.3236712,-0.13560452,-0.24045312,-0.014397192
industrial_logistics,0.17199038,0.020951798,0.1744575,0.40492886,-0.002659401,0.09215957,0.066621415,0.006800816,0.04682909,0.10329423,0.04707651,0.044365853,0.3832688,0.16767983,0.16011854
peripheral_expansion,0.17524257,0.00425474,0.1205674,-0.07676292,-0.0070124357,-0.025334299,0.06757759,-0.0018790613,0.015214133,0.0077737225,0.016507791,-0.8137649,-0.011180701,-0.32770953,-0.19266003
waterfront_transformation,-0.012118442,-0.035976794,-0.1110519,0.066541076,-0.06057842,-0.010062559,0.02050901,0.014019775,-0.0076625366,-0.036254853,0.0036896558,0.07695061,0.022743208,-1.8413332,0.18300422
