stratum_name,bld_cov,far,mean_floors,bld_mean_area,bld_mean_shape,bld_orient,str_dens_800,inter_dens_800,node_dens_800,mean_seg_800,orient_ent_800,f_green,slope_mean,dist_coast_km,dist_core_km
apartment_block,-0.020623932,-0.058445875,-0.053332154,-0.100201,0.027345175,-0.030269125,-0.025914123,0.0012040312,-0.048342653,-0.029007306,0.0007466845,0.3079726,0.039715517,0.21793698,0.020739703
grid_residential,-0.035077345,0.071055196,0.01259021,0.04147955,-0.031051546,-0.023027426,0.07180838,0.005011451,0.015418492,0.009743661,-0.0045591355,-0.19251113,0.05905203,0.054508995,-0.13860925
hillside_incremental,-0.030515319,0.0031297281,-0.025466843,-0.16900423,0.006472552,-0.0281463,-0.0018509163,0.007952416,-0.033659767,-0.04056792,0.02243248,-0.031677883,-0.29417413,0.2615451,-0.005501097
historic_core,0.06503151,-0.08954499,-0.10246887,-0.18832372,-0.044262525,-0.02670876,-0.03945938,0.0074345306,-0.059240468,-0.10252762,0.033129133,0.3150167,-0.14682858,-0.22539878,-0.031836823
industrial_logistics,0.117621414,0.08081832,0.12565921,0.49126425,-0.005203398,0.094288744,0.06606353,-0.0030555532,0.04729075,0.11371874,0.023694078,0.026941568,0.39874008,0.17670245,0.12429463
peripheral_expansion,0.11064091,0.07255815,0.08357823,-0.054785866,-0.0040412303,-0.026271615,0.0695667,0.0017841493,0.025645249,0.02006477,0.0017222577,-0.8451068,-0.0056041386,-0.28129736,-0.21227266
waterfront_transformation,-0.024008658,-0.028369466,-0.0994607,0.06198602,-0.054124843,-0.015030723,0.046093404,-0.0018917238,-0.00319281,-0.031793278,0.0005585137,0.07553468,0.0067796386,-1.8234032,0.16653699
